,Returns,Volatility
A,0.47468017903585547,-0.24784109642016383
AAL,0.3169770409778867,3.03004843054749
AAPL,1.770555202110533,-0.37408098450740956
ABT,-0.6177400990824794,-1.1561136899939919
ACGL,0.17176512922610782,-0.8407159659635695
ACN,0.1982070019735959,-0.8373939713046369
ADBE,1.2669434162234317,0.12615062668392193
ADI,0.33879709083877485,-0.25157836467097255
ADM,-0.9463562239336093,-0.614837206535525
ADP,-0.24044720428134086,-1.1016549318858642
ADSK,0.7814888179040502,0.6598186416487438
AEE,-1.2120255417594208,-1.1633166514749094
AEP,-1.1521740730102834,-1.371756784834272
AES,-0.7958724220921177,0.2756919595725022
AFL,-0.2326635038638298,0.508163538908856
AIG,0.22362696003885416,2.6692661735391714
AIZ,-0.1370913598451443,-0.2806008251354889
AJG,0.0007005213863860161,-1.1014918434411396
AKAM,0.3837211289332519,0.6218396052315418
ALB,0.3915979735590567,0.8734329341572349
ALGN,2.153864726884129,1.9098436022381822
ALL,-0.414339507162956,-0.46752901683145137
AMAT,0.9829054399597804,0.618709476551629
AMD,3.2990758489427425,3.057742907570176
AME,0.3520110933798865,-0.7423114964785064
AMGN,-0.4206932479158276,-0.8317518861449636
AMP,1.0437454246778846,0.6022572363893145
AMT,-0.08267903433554837,-0.7844587403358069
AMZN,2.015382251531999,0.339717835427809
ANSS,0.5256378739316305,-0.23223358708923042
AON,-0.24240728679829757,-1.0475497468382882
AOS,0.7336401911697121,-0.3627597834527947
APA,-1.1957042594560419,2.1983514128256174
APD,-0.35283650035239694,-0.809843772147324
APH,0.6133116982267918,-0.5945884533387384
ARE,-0.9196097810243122,-0.14509472169945375
ATO,-0.5487108774545776,-1.2815444945753176
AVB,-0.6230134336685317,-0.2720477974023619
AVY,-0.11230145166231939,-0.3551731501981976
AWK,-0.2751317761351271,-1.1679432374320688
AXON,2.673613999580979,2.176137788424756
AXP,0.47946848251678964,0.29544128558269905
AZO,0.6868929112983455,-0.9372541210347771
BA,0.10669239366518635,0.5211239168817323
BAC,-0.08551914186580414,1.673305188335654
BALL,-0.3253203372143555,-0.705269713849176
BAX,-1.589875450014078,-0.9672046304760447
BBWI,0.5388713569089888,1.6721579092918115
BBY,-0.3466587355064803,0.9669748661430831
BDX,-0.8023508920492354,-1.2967321500671436
BEN,-1.2502198451781257,0.15556192283620882
BG,-1.0474038705886437,-0.12159661012586531
BIIB,0.23340508588234196,0.84300437229058
BIO,-0.36826531157779,-0.4174149028599265
BK,-0.9889438049746052,0.026086735514222616
BKNG,1.8529624474990556,0.3043650057041733
BKR,-1.1507998208527797,1.0561617451528458
BLDR,4.528961387630509,4.009503252700585
BLK,-0.08390745261417812,-0.1264637946458185
